ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
62,2388,05Q3,63,21.2,27.8,18.7,21.5,+0.3,+1.42,42.9,1989,31.6,478,7.6,-0.52,-6.34,+8.49,+1.63,9.8,-9.22,117,-11.5,7,6
63,2388,05Q2,63,16.5,23.95,15.6,21.2,+4.75,+28.9,50.8,1648,26.2,340,5.4,-51.8,+7.1,+1.07,-43.6,9.8,+52.8,126,+17.4,18.7,14.8
64,2388,05Q1,57,17.5,19.55,14.7,16.45,-0.95,-5.46,27.9,755,13.2,133,2.3,-18.6,+0.07,-0.19,-18.7,13.7,+10.7,73.4,+0.08,1.36,1.9
65,2388,04Q4,65,20,24.2,16.3,17.4,-2.4,-12.1,39.9,485,7.5,94,1.4,-32,-0.79,+0.22,-32.6,15.2,+15.5,62.8,-3.15,1.27,2
66,2388,04Q3,63,28.1,28.5,18.3,19.8,-8.2,-29.3,36.4,406,6.4,95.5,1.5,-30.3,-6.75,+0.1,-36.9,17.7,+10.8,47.3,+1.84,4.41,9.3
67,2388,04Q2,64,39.8,40.4,26.2,28,-12,-30,35.5,285,4.4,96,1.5,-0.29,+0.53,+0.34,+0.57,20.1,-1.41,36.4,+0.23,2.46,6.8
68,2388,04Q1,58,44,49.6,35,40,-4,-9.09,33.2,305,5.3,132,2.3,-12,-0.31,-0.23,-12.5,20.1,+5.4,37.9,-2.74,2.26,6
69,2388,03Q4,65,51,57,38.8,44,-8,-15.4,35,331,5.1,153,2.4,+18.6,-0.31,-2.03,+16.3,21.1,+1.98,32.4,+0.47,5,15.4
70,2388,03Q3,65,46.4,61.5,45.9,52,+6.1,+13.3,34,727,11.2,393,6,+123,-7.63,-1.64,+114,19.6,-29.3,30.4,-3.93,4.51,14.8
71,2388,03Q2,63,32.5,47,32.3,45.9,+13.1,+39.9,44.8,1126,17.9,478,7.6,+71.4,+8.01,+3.36,+82.8,9.3,-13.1,59.2,+6.55,8.34,14.1
72,2388,03Q1,56,37.7,41,32.6,32.8,-4.7,-12.5,22.4,353,6.3,133,2.4,-1.38,-0.06,+1.33,-0.12,3.3,-13.6,72.8,-9.49,1.89,2.6
73,2388,02Q4,65,47.5,52,35.5,37.5,-10.1,-21.2,34.7,973,15,441,6.8,-7.84,-0.11,-0.26,-8.21,3.4,+5.57,86.4,-4.34,11.4,13.2
74,2388,02Q3,65,73,81,45,47.6,-25.9,-35.2,49,784,12.1,490,7.5,-15.4,-0.73,-1.28,-17.4,3.2,+2.14,81,+11.3,17,20.9
75,2388,02Q2,63,130,134.5,71.5,73.5,-58.5,-44.3,47.7,534,8.5,545,8.6,-17.9,-6.45,-6.08,-30.5,4.8,-17.2,78.4,+2.53,5.52,7
76,2388,02Q1,55,141.5,156,118,132,-10,-7.04,26.8,1534,27.9,2152,39.1,-3.62,-4.4,+3.05,-4.97,6.7,-0.45,95.6,-2.29,3.09,3.2
77,2388,01Q4,64,85.5,150,70,142,+56.5,+66.1,93.6,2046,32,2431,38,+3.81,-5.31,+2.15,+0.65,7.1,+46.4,98.1,-15,7.13,7.3
78,2388,01Q3,61,234,236,79,85.5,-152.5,-64.1,66,721,11.8,1206,19.8,-12.9,-1.95,+0.39,-14.5,6.2,,,,,
79,2388,01Q2,62,357,360,224,238,-115,-32.6,38.5,576,9.3,1705,27.5,-5.17,-12,-2.07,-19.3,8.4,-5.53,68.7,+0.28,6.24,9.1
80,2388,01Q1,57,182,365,178,353,+171,+94,103,1312,23,3845,67.5,-5.61,+3.28,+2.72,+0.39,9.3,+29.8,75.4,-1.24,6.53,8.7
81,2388,00Q4,70,308,335,165,182,-126,-40.9,55.2,1063,15.2,2392,34.2,-6.19,+2.45,+0.08,-3.66,10.3,-7.68,45.8,+4.26,8.92,19.5
82,2388,00Q3,70,475,628,308,308,-167,-35.2,67.4,657,9.4,3052,43.6,-18.9,0,0,-18.9,9.9,+15.8,56.6,+6.06,5.94,10.5
83,2388,00Q2,70,455,629,421,475,+20,+4.4,45.7,668,9.5,3552,50.7,,,,,14.9,-7.75,41.9,-1.7,0.35,0.8
84,2388,00Q1,62,367,462,328,455,+110,+31.9,38.8,730,11.8,2739,44.2,,,,,8.9,-2.52,50.7,+1.72,2.75,5.4
85,2388,99Q4,69,196,345,172,345,+150,+76.9,88.7,757,11,,,,,,,,,,,,
86,2388,99Q3,68,213,221,132,195,-19,-8.88,41.6,394,5.8,,,,,,,,,,,,
87,2388,99Q2,68,157,257,149,214,+57,+36.3,68.8,221,3.2,,,,,,,,,,,,
88,2388,99Q1,21,128,164,128,157,+29,+22.7,28.1,35.8,1.7,,,,,,,,,,,,
