有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3703　欣陸,108/08/01,"1,791,339","29,529,293",16.50,16.60,16.40,16.55,X0.00,710
3703　欣陸,108/08/02,"2,139,999","35,487,733",16.65,16.70,16.40,16.50,-0.05,583
3703　欣陸,108/08/05,"2,085,600","34,402,650",16.50,16.55,16.40,16.50, 0.00,827
3703　欣陸,108/08/06,"2,861,300","46,198,293",16.30,16.35,15.90,16.15,-0.35,"1,181"
3703　欣陸,108/08/07,"2,103,300","33,596,570",16.30,16.30,15.80,15.80,-0.35,790
3703　欣陸,108/08/08,"1,093,868","17,364,055",15.85,16.00,15.80,15.85,+0.05,498
3703　欣陸,108/08/12,"1,261,534","20,263,844",16.00,16.15,16.00,16.05,+0.20,679
3703　欣陸,108/08/13,"1,538,951","24,892,360",16.20,16.25,16.05,16.15,+0.10,827
3703　欣陸,108/08/14,"10,685,192","161,195,007",15.30,15.50,14.90,15.00,-1.15,"2,289"
3703　欣陸,108/08/15,"2,347,010","34,522,248",14.80,14.85,14.60,14.80,-0.20,835
3703　欣陸,108/08/16,"2,449,721","37,277,496",14.80,15.40,14.80,15.30,+0.50,"1,328"
3703　欣陸,108/08/19,"2,509,133","38,558,744",15.35,15.50,15.25,15.45,+0.15,"1,001"
3703　欣陸,108/08/20,"1,294,667","19,928,520",15.50,15.50,15.30,15.45, 0.00,504
3703　欣陸,108/08/21,"593,000","9,159,350",15.40,15.50,15.40,15.50,+0.05,322
3703　欣陸,108/08/22,"913,100","14,229,350",15.50,15.70,15.50,15.50, 0.00,447
3703　欣陸,108/08/23,"1,085,647","16,972,791",15.45,15.75,15.45,15.60,+0.10,570
3703　欣陸,108/08/26,"1,966,301","30,000,755",15.35,15.40,15.10,15.20,-0.40,864
3703　欣陸,108/08/27,"2,063,012","31,121,730",15.20,15.25,15.00,15.00,-0.20,830
3703　欣陸,108/08/28,"980,742","14,661,903",15.00,15.00,14.90,14.90,-0.10,487
3703　欣陸,108/08/29,"924,339","13,783,348",14.95,15.00,14.85,14.90, 0.00,458
3703　欣陸,108/08/30,"927,265","13,890,245",14.90,15.05,14.90,14.95,+0.05,433
3703　欣陸,108/09/02,"600,099","9,006,188",14.95,15.10,14.95,15.10,+0.15,269
3703　欣陸,108/09/03,"670,148","10,099,289",15.10,15.15,15.00,15.00,-0.10,374
3703　欣陸,108/09/04,"531,781","8,007,551",15.00,15.15,15.00,15.05,+0.05,319
3703　欣陸,108/09/05,"852,287","12,878,805",15.05,15.20,15.05,15.05, 0.00,403
3703　欣陸,108/09/06,"1,058,023","15,958,345",15.15,15.20,15.05,15.05, 0.00,612
3703　欣陸,108/09/09,"929,618","14,017,435",15.15,15.15,15.00,15.00,-0.05,466
3703　欣陸,108/09/10,"1,029,915","15,540,975",15.05,15.15,15.00,15.05,+0.05,467
3703　欣陸,108/09/11,"2,004,737","29,905,342",15.00,15.00,14.85,14.90,-0.15,746
3703　欣陸,108/09/12,"501,792","7,504,083",14.95,15.00,14.90,14.95,+0.05,281
3703　欣陸,108/09/16,"830,715","12,462,900",15.00,15.05,14.95,14.95, 0.00,449
3703　欣陸,108/09/17,"1,308,103","19,444,383",14.95,15.00,14.80,14.85,-0.10,583
3703　欣陸,108/09/18,"905,522","13,428,374",14.85,14.95,14.75,14.85, 0.00,556
